"subj_idx","series","misNum","shapeNameEn","characterNameEn","CorrectingRT","Dprime"
"sv020009",0,3,"pentagon",NA,37.0202083333334,3.76849852782363
"sv020009",0,3,"square",NA,75.1366666666667,3.57095467605393
"sv020009",0,3,"triangle",NA,50.6721875000001,4.62198267651484
"sv020009",1,1,NA,"friend",109.6653125,3.29499569276448
"sv020009",1,1,NA,"mother",-11.389375,3.26578494047479
"sv020009",1,1,NA,"self",64.1495833333333,3.84511188260997
"sv020009",1,1,NA,"stranger",-45.2475000000001,4.07366826340278
"sv020009",1,2,NA,"friend",32.5295833333332,3.41982825880203
"sv020009",1,2,NA,"mother",54.3294791666666,3.46332879224449
"sv020009",1,2,NA,"self",75.2939583333334,3.46134071863343
"sv020009",1,2,NA,"stranger",96.2484375,3.84511188260996
"sv020009",1,3,NA,"friend",96.2947594850948,1.18631321169764
"sv020009",1,3,NA,"mother",89.0324220867209,1.39814886539716
"sv020009",1,3,NA,"self",63.8323580586081,0.864462981875853
"sv020009",1,3,NA,"stranger",32.5774324324325,1.4160837940576
"sv020010",0,1,"circular",NA,81.6006205673759,3.29499569276449
"sv020010",0,1,"pentagon",NA,-51.0625,2.79228210541564
"sv020010",0,1,"square",NA,32.3125,3.46332879224449
"sv020010",0,1,"triangle",NA,47.3874113475177,3.84511188260997
"sv020010",0,2,"circular",NA,93.4046985815603,2.98982595718534
"sv020010",0,2,"pentagon",NA,-4.55141843971637,2.2255831271648
"sv020010",0,2,"square",NA,61.4468085106383,2.31263401283315
"sv020010",0,2,"triangle",NA,27.1295289855072,2.2255831271648
"sv020010",0,3,"circular",NA,13.5821256038648,1.24294510079537
"sv020010",0,3,"pentagon",NA,40.9054600606673,1.79606649563157
"sv020010",0,3,"square",NA,117.640692640693,1.4160837940576
"sv020010",0,3,"triangle",NA,48.7702127659575,2.11777094647771
"sv020010",1,1,NA,"friend",-28.6666666666667,1.57771617628803
"sv020010",1,1,NA,"mother",-56.625,1.34151697629943
"sv020010",1,1,NA,"self",73.8333333333333,2.47325843998376
"sv020010",1,1,NA,"stranger",52.3421985815603,1.69936436051879
"sv020010",1,2,NA,"friend",-19.2444444444445,1.4160837940576
"sv020010",1,2,NA,"mother",39.154701718908,1.20591638068716
"sv020010",1,2,NA,"self",89.2732323232323,2.11777094647771
"sv020010",1,2,NA,"stranger",4.74418604651157,1.94161901078893
"sv020010",1,3,NA,"friend",86.1480496453901,1.56163630921496
"sv020010",1,3,NA,"mother",74.4468085106383,1.60299473446815
"sv020010",1,3,NA,"self",100.979166666667,2.76598825420128
"sv020010",1,3,NA,"stranger",24.5531914893618,1.54324886288472
"sv020011",0,1,"circular",NA,59.8371010638298,4.07366826340278
"sv020011",0,1,"pentagon",NA,82.1770833333334,3.11465852322288
"sv020011",0,1,"square",NA,103.825,3.41982825880203
"sv020011",0,1,"triangle",NA,82.3629432624114,3.11465852322288
"sv020011",0,2,"circular",NA,43.7437500000001,4.62198267651484
"sv020011",0,2,"pentagon",NA,29.61875,3.41982825880203
"sv020011",0,2,"square",NA,97.1291666666666,4.62198267651484
"sv020011",0,2,"triangle",NA,92.84375,4.04265573437966
"sv020011",0,3,"circular",NA,53.6229166666667,3.84511188260997
"sv020011",0,3,"pentagon",NA,-14.0005762411347,3.1871835120774
"sv020011",0,3,"square",NA,102.625088652482,3.57095467605393
"sv020011",0,3,"triangle",NA,36.6347517730496,3.76849852782363
"sv020011",1,1,NA,"friend",215.318528368794,2.54388219762216
"sv020011",1,1,NA,"mother",-146.756382978723,2.1623916954177
"sv020011",1,1,NA,"self",105.56875,2.64115568816374
"sv020011",1,1,NA,"stranger",66.4583333333334,2.34195900630858
"sv020011",1,2,NA,"friend",74.3659574468085,2.7861368478923
"sv020011",1,2,NA,"mother",26.3208333333333,3.36546379002747
"sv020011",1,2,NA,"self",150.073138297872,3.26578494047479
"sv020011",1,2,NA,"stranger",75.5,2.77842817556291
"sv020011",1,3,NA,"friend",112.947192028986,2.68446992472855
"sv020011",1,3,NA,"mother",59.8283996299723,2.79228210541564
"sv020011",1,3,NA,"self",139.03125,3.11465852322288
"sv020011",1,3,NA,"stranger",109.289583333333,2.98982595718534
