"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","mean_rt","med_rt","acc"
"sv020007",1,"match",2,"pentagon",NA,"friend",632.732195160976,621.0450004,0.951219512195122
"sv020007",1,"match",2,"square",NA,"mother",641.802021265957,628.8700001,0.936170212765957
"sv020007",1,"match",2,"triangle",NA,"self",606.577613611364,592.99000005,1
"sv020007",1,"match",3,"circular",NA,"stranger",649.941111126667,635.3549999,0.933333333333333
"sv020007",1,"match",3,"pentagon",NA,"friend",675.34390242439,673.9750002,0.951219512195122
"sv020007",1,"match",3,"square",NA,"mother",674.15255554,650.415,0.977777777777778
"sv020007",1,"match",3,"triangle",NA,"self",624.788977259091,612.75999995,0.954545454545455
"sv020007",1,"mismatch",1,"circular",NA,"self",633.161222231111,610.5999998,0.977777777777778
"sv020007",1,"mismatch",1,"pentagon",NA,"stranger",691.7637499675,692.20250005,0.85
"sv020007",1,"mismatch",1,"square",NA,"friend",689.732439078049,709.735,0.902439024390244
"sv020007",1,"mismatch",1,"triangle",NA,"mother",643.313804334783,630.6725,0.978260869565217
"sv020007",1,"mismatch",2,"circular",NA,"mother",590.19826083913,586.0100002,1
"sv020007",1,"mismatch",2,"circular",NA,"self",606.156458279167,587.0099999,1
"sv020007",1,"mismatch",2,"pentagon",NA,"self",661.375952471429,647.1350002,1
"sv020007",1,"mismatch",2,"pentagon",NA,"stranger",643.35795455,641.81749985,1
"sv020007",1,"mismatch",2,"square",NA,"friend",738.856111083333,774.88499995,0.888888888888889
"sv020007",1,"mismatch",2,"square",NA,"stranger",655.506363595455,656.7900002,1
"sv020007",1,"mismatch",2,"triangle",NA,"friend",636.85159085,611.22499985,0.909090909090909
"sv020007",1,"mismatch",2,"triangle",NA,"mother",643.299347782609,610.7100002,1
"sv020007",1,"mismatch",3,"circular",NA,"friend",641.929615323077,616.9699999,1
"sv020007",1,"mismatch",3,"circular",NA,"mother",659.310000053333,624.905,1
"sv020007",1,"mismatch",3,"circular",NA,"self",661.789642807143,646.04,1
"sv020007",1,"mismatch",3,"pentagon",NA,"mother",699.402333366667,664.99,0.6
"sv020007",1,"mismatch",3,"pentagon",NA,"self",679.260000113333,678.7500004,0.933333333333333
"sv020007",1,"mismatch",3,"pentagon",NA,"stranger",711.91687503125,713.8350003,1
"sv020007",1,"mismatch",3,"square",NA,"friend",708.39124995,719.5625,1
"sv020007",1,"mismatch",3,"square",NA,"self",674.803214235714,652.7800001,1
"sv020007",1,"mismatch",3,"square",NA,"stranger",641.395714342857,600.60500005,1
"sv020007",1,"mismatch",3,"triangle",NA,"friend",664.763214335714,674.1225,0.928571428571429
"sv020007",1,"mismatch",3,"triangle",NA,"mother",665.832142857143,628.8300001,0.928571428571429
"sv020007",1,"mismatch",3,"triangle",NA,"stranger",678.737142842857,667.13750015,1
"sv020008",0,"match",1,"circular","circular",NA,525.22,518,1
"sv020008",0,"match",1,"pentagon","pentagon",NA,609.034042553192,592,0.829787234042553
"sv020008",0,"match",1,"square","square",NA,568.277777777778,557.1,0.955555555555556
"sv020008",0,"match",1,"triangle","triangle",NA,570.834782608696,561.55,1
"sv020008",0,"match",2,"circular","circular",NA,589.687234042553,583.7,1
"sv020008",0,"match",2,"pentagon","pentagon",NA,717.090476190476,721.85,0.785714285714286
"sv020008",0,"match",2,"square","square",NA,654.424444444444,634.4,0.933333333333333
"sv020008",0,"match",2,"triangle","triangle",NA,596.25625,596,1
"sv020008",0,"match",3,"circular","circular",NA,537.431818181818,529.8,0.977272727272727
"sv020008",0,"match",3,"pentagon","pentagon",NA,612.231818181818,601.75,0.636363636363636
"sv020008",0,"match",3,"square","square",NA,585.848936170213,578.4,0.872340425531915
"sv020008",0,"match",3,"triangle","triangle",NA,548.154166666667,539,0.979166666666667
"sv020008",0,"mismatch",1,"circular","triangle",NA,599.148936170213,597.2,0.978723404255319
"sv020008",0,"mismatch",1,"pentagon","circular",NA,588.752173913044,575.85,0.978260869565217
"sv020008",0,"mismatch",1,"square","pentagon",NA,626.63125,623.8,0.9375
"sv020008",0,"mismatch",1,"triangle","square",NA,599.859574468085,599.8,0.957446808510638
"sv020008",0,"mismatch",2,"circular","square",NA,704.7,687,1
"sv020008",0,"mismatch",2,"circular","triangle",NA,718.604166666667,691.85,1
"sv020008",0,"mismatch",2,"pentagon","circular",NA,696.105263157895,692.2,1
"sv020008",0,"mismatch",2,"pentagon","triangle",NA,728.878260869565,736.8,1
"sv020008",0,"mismatch",2,"square","circular",NA,738.552173913043,746.1,0.956521739130435
"sv020008",0,"mismatch",2,"square","pentagon",NA,713.225,704.95,1
"sv020008",0,"mismatch",2,"triangle","pentagon",NA,685.652380952381,659.7,1
"sv020008",0,"mismatch",2,"triangle","square",NA,729.666666666667,725.9,1
"sv020008",0,"mismatch",3,"circular","pentagon",NA,584.11875,574.1,1
"sv020008",0,"mismatch",3,"circular","square",NA,551.426666666667,560.6,1
"sv020008",0,"mismatch",3,"circular","triangle",NA,576.49375,569.1,0.9375
"sv020008",0,"mismatch",3,"pentagon","circular",NA,588.38125,595.9,1
"sv020008",0,"mismatch",3,"pentagon","square",NA,628.953846153846,622.2,0.923076923076923
"sv020008",0,"mismatch",3,"pentagon","triangle",NA,617.9125,601,1
"sv020008",0,"mismatch",3,"square","circular",NA,588.314285714286,582.9,1
"sv020008",0,"mismatch",3,"square","pentagon",NA,644.34,627.7,0.933333333333333
"sv020008",0,"mismatch",3,"square","triangle",NA,592.3875,601.05,1
"sv020008",0,"mismatch",3,"triangle","circular",NA,567.3125,562.25,0.875
"sv020008",0,"mismatch",3,"triangle","pentagon",NA,614.05625,602.05,1
"sv020008",0,"mismatch",3,"triangle","square",NA,564.2125,561.05,0.9375
"sv020008",1,"match",1,"circular",NA,"stranger",630.010869565217,632.35,0.826086956521739
"sv020008",1,"match",1,"pentagon",NA,"friend",616.25,625.2,0.978260869565217
"sv020008",1,"match",1,"square",NA,"mother",593.113953488372,573,0.930232558139535
"sv020008",1,"match",1,"triangle",NA,"self",560.808333333333,554.1,0.958333333333333
"sv020008",1,"match",2,"circular",NA,"stranger",687.754347826087,688.25,0.869565217391304
"sv020008",1,"match",2,"pentagon",NA,"friend",654.323404255319,658,0.914893617021277
"sv020008",1,"match",2,"square",NA,"mother",643.216666666667,621.05,0.895833333333333
"sv020008",1,"match",2,"triangle",NA,"self",571.379166666667,572.15,0.979166666666667
"sv020008",1,"match",3,"circular",NA,"stranger",651.991489361702,651.9,0.851063829787234
"sv020008",1,"match",3,"pentagon",NA,"friend",643.968181818182,633.2,0.863636363636364
"sv020008",1,"match",3,"square",NA,"mother",618.591489361702,611,0.978723404255319
"sv020008",1,"match",3,"triangle",NA,"self",566.74375,563.5,1
"sv020008",1,"mismatch",1,"circular",NA,"self",609.570212765957,614,1
"sv020008",1,"mismatch",1,"pentagon",NA,"stranger",669.302380952381,673.05,0.928571428571429
"sv020008",1,"mismatch",1,"square",NA,"friend",667.004545454545,674.7,0.772727272727273
"sv020008",1,"mismatch",1,"triangle",NA,"mother",619.332608695652,619.8,0.956521739130435
"sv020008",1,"mismatch",2,"circular",NA,"mother",658.154166666667,641,0.958333333333333
"sv020008",1,"mismatch",2,"circular",NA,"self",651.141666666667,651.85,1
"sv020008",1,"mismatch",2,"pentagon",NA,"self",654.391666666667,659.45,1
"sv020008",1,"mismatch",2,"pentagon",NA,"stranger",694.072727272727,686.25,0.818181818181818
"sv020008",1,"mismatch",2,"square",NA,"friend",679.3,666.7,0.608695652173913
"sv020008",1,"mismatch",2,"square",NA,"stranger",681.65,658.15,1
"sv020008",1,"mismatch",2,"triangle",NA,"friend",673.125,667.8,1
"sv020008",1,"mismatch",2,"triangle",NA,"mother",668.720833333333,654.45,1
"sv020008",1,"mismatch",3,"circular",NA,"friend",664.066666666667,645.6,1
"sv020008",1,"mismatch",3,"circular",NA,"mother",643.28,643.4,1
"sv020008",1,"mismatch",3,"circular",NA,"self",635.4125,635.5,1
"sv020008",1,"mismatch",3,"pentagon",NA,"mother",650.293333333333,651.8,0.733333333333333
"sv020008",1,"mismatch",3,"pentagon",NA,"self",632.08,632.2,1
"sv020008",1,"mismatch",3,"pentagon",NA,"stranger",643.86,654.8,1
"sv020008",1,"mismatch",3,"square",NA,"friend",660.564285714286,662.4,0.5
"sv020008",1,"mismatch",3,"square",NA,"self",627.99375,627.35,0.9375
"sv020008",1,"mismatch",3,"square",NA,"stranger",660.678571428571,632.5,1
"sv020008",1,"mismatch",3,"triangle",NA,"friend",635.3625,633.3,1
"sv020008",1,"mismatch",3,"triangle",NA,"mother",640.02,638.3,1
"sv020008",1,"mismatch",3,"triangle",NA,"stranger",673.03125,663.6,1
"sv020009",0,"match",1,"circular","circular",NA,594.014166666667,587.5225,0.979166666666667
"sv020009",0,"match",1,"pentagon","pentagon",NA,657.53,662.92,0.9375
"sv020009",0,"match",1,"square","square",NA,614.148854166667,593.5975,0.9375
"sv020009",0,"match",1,"triangle","triangle",NA,597.147708333333,598.3825,0.979166666666667
"sv020009",0,"match",2,"circular","circular",NA,651.342553191489,645.67,0.978723404255319
"sv020009",0,"match",2,"pentagon","pentagon",NA,706.147340425532,706.39,0.936170212765957
"sv020009",0,"match",2,"square","square",NA,654.403541666667,651.645,0.979166666666667
"sv020009",0,"match",2,"triangle","triangle",NA,663.872446808511,660.115,0.978723404255319
"sv020009",0,"match",3,"circular","circular",NA,629.583958333333,624.655,1
"sv020009",0,"match",3,"pentagon","pentagon",NA,663.556111111111,657.83,0.977777777777778
"sv020009",0,"match",3,"square","square",NA,633.727708333333,627.5925,0.979166666666667
"sv020009",0,"match",3,"triangle","triangle",NA,616.459255319149,619.44,1
"sv020009",0,"mismatch",1,"circular","triangle",NA,638.893229166667,642.9475,0.979166666666667
"sv020009",0,"mismatch",1,"pentagon","circular",NA,661.2975,656.9525,1
"sv020009",0,"mismatch",1,"square","pentagon",NA,696.997765957447,720.84,0.914893617021277
"sv020009",0,"mismatch",1,"triangle","square",NA,641.863854166667,625.4175,1
"sv020009",0,"mismatch",2,"circular","square",NA,781.396,790.13,0.9
"sv020009",0,"mismatch",2,"circular","triangle",NA,708.994545454545,721.0475,1
"sv020009",0,"mismatch",2,"pentagon","circular",NA,716.165,705.855,0.956521739130435
"sv020009",0,"mismatch",2,"pentagon","triangle",NA,746.822857142857,759.515,0.952380952380952
"sv020009",0,"mismatch",2,"square","circular",NA,765.965434782609,732.77,0.956521739130435
"sv020009",0,"mismatch",2,"square","pentagon",NA,770.824782608696,775.31,0.956521739130435
"sv020009",0,"mismatch",2,"triangle","pentagon",NA,711.016875,690.4425,1
"sv020009",0,"mismatch",2,"triangle","square",NA,719.560652173913,708.285,0.956521739130435
"sv020009",0,"mismatch",3,"circular","pentagon",NA,728.552666666667,752.2,0.933333333333333
"sv020009",0,"mismatch",3,"circular","square",NA,676.904333333333,659.085,1
"sv020009",0,"mismatch",3,"circular","triangle",NA,661.676875,620.495,1
"sv020009",0,"mismatch",3,"pentagon","circular",NA,712.52875,692.105,1
"sv020009",0,"mismatch",3,"pentagon","square",NA,723.025625,757.205,0.8125
"sv020009",0,"mismatch",3,"pentagon","triangle",NA,697.6653125,709.3425,1
"sv020009",0,"mismatch",3,"square","circular",NA,689.267,681.855,0.933333333333333
"sv020009",0,"mismatch",3,"square","pentagon",NA,714.078125,694.16,1
"sv020009",0,"mismatch",3,"square","triangle",NA,667.10125,674.61,1
"sv020009",0,"mismatch",3,"triangle","circular",NA,678.2578125,680.1,1
"sv020009",0,"mismatch",3,"triangle","pentagon",NA,671.0903125,652.865,1
"sv020009",0,"mismatch",3,"triangle","square",NA,705.0325,714.78,1
"sv020009",1,"match",1,"circular",NA,"stranger",741.97825,735.9175,0.975
"sv020009",1,"match",1,"pentagon",NA,"friend",694.285,673.165,1
