"subj_idx","series","condition","misNum","shapeEn","shapeNameEn","characterNameEn","rt","acc","med_rt"
"sv020007",1,"mismatch",2,"square",NA,"friend",798.337499970833,0.916666666666667,828.65249995
"sv020007",1,"mismatch",2,"square",NA,"stranger",695.7537499625,1,665.6475
"sv020007",1,"mismatch",2,"triangle",NA,"friend",646.959565156522,0.875,616.0949999
"sv020007",1,"mismatch",2,"triangle",NA,"mother",653.229999958333,1,617.9000002
"sv020007",1,"mismatch",3,"circular",NA,"friend",711.35062495,1,656.85000015
"sv020007",1,"mismatch",3,"circular",NA,"mother",677.3218750625,1,637.23250015
"sv020007",1,"mismatch",3,"circular",NA,"self",723.903749975,1,676.0525
"sv020007",1,"mismatch",3,"pentagon",NA,"mother",714.62218751875,0.625,689.3949998
"sv020007",1,"mismatch",3,"pentagon",NA,"self",697.5890626125,0.9375,684.72500005
"sv020007",1,"mismatch",3,"pentagon",NA,"stranger",711.91687503125,1,713.8350003
"sv020007",1,"mismatch",3,"square",NA,"friend",795.43218746875,0.875,739.7424998
"sv020007",1,"mismatch",3,"square",NA,"self",724.0246874625,1,676.16
"sv020007",1,"mismatch",3,"square",NA,"stranger",683.21718755625,1,624.86999995
"sv020007",1,"mismatch",3,"triangle",NA,"friend",711.4062500375,0.9375,679.3875
"sv020007",1,"mismatch",3,"triangle",NA,"mother",706.00031248125,0.9375,639.9450002
"sv020007",1,"mismatch",3,"triangle",NA,"stranger",716.51718749375,1,689.9700002
"sv020008",0,"match",1,"circular","circular",NA,520.917021276596,0.979166666666667,516.9
"sv020008",0,"match",1,"pentagon","pentagon",NA,613.214583333333,0.833333333333333,592.5
"sv020008",0,"match",1,"square","square",NA,586.627659574468,0.916666666666667,557.5
"sv020008",0,"match",1,"triangle","triangle",NA,564.9375,1,559.3
"sv020008",0,"match",2,"circular","circular",NA,596.729166666667,1,587.45
"sv020008",0,"match",2,"pentagon","pentagon",NA,756.570833333333,0.8125,734.3
"sv020008",0,"match",2,"square","square",NA,671.96875,0.9375,642.15
"sv020008",0,"match",2,"triangle","triangle",NA,596.25625,1,596
"sv020008",0,"match",3,"circular","circular",NA,537.183333333333,0.979166666666667,526.8
"sv020008",0,"match",3,"pentagon","pentagon",NA,630.491666666667,0.666666666666667,609.95
"sv020008",0,"match",3,"square","square",NA,590.035416666667,0.875,578.95
"sv020008",0,"match",3,"triangle","triangle",NA,548.154166666667,0.979166666666667,539
"sv020008",0,"mismatch",1,"circular","triangle",NA,605.29375,0.979166666666667,598.05
"sv020008",0,"mismatch",1,"pentagon","circular",NA,599.65625,0.958333333333333,577.35
"sv020008",0,"mismatch",1,"square","pentagon",NA,626.63125,0.9375,623.8
"sv020008",0,"mismatch",1,"triangle","square",NA,604.70625,0.958333333333333,600.9
"sv020008",0,"mismatch",2,"circular","square",NA,712.770833333333,1,692.1
"sv020008",0,"mismatch",2,"circular","triangle",NA,718.604166666667,1,691.85
